1	7624
2	4438
3	4057
4	4639
5	4128
6	3807
7	3907
8	4659
9	4479
10	3918
11	3998
12	3647
13	3798
14	3697
15	3927
16	3597
17	3988
18	4439
19	4489
20	4449
21	3967
22	4138
23	3687
24	3818
25	3667
26	3567
27	3788
28	4178
29	3657
30	3697
31	4608
32	3637
33	3687
34	3787
35	3597
36	7684
37	4088
38	3767
39	3697
40	4047
41	4509
42	3647
43	3627
44	3577
45	3928
46	3797
47	3727
48	3617
49	3627
50	3957
51	4058
52	3666
53	3807
54	3937
55	3647
56	3667
57	3707
58	3637
59	3827
60	3567
61	3838
62	4218
63	4188
64	4448
65	6211
66	3677
67	4459
68	3817
69	3937
70	3817
71	4409
72	3657
73	3707
74	4568
75	6372
76	4278
77	4529
78	4349
79	4659
80	8616
81	4238
82	4629
83	7023
84	4248
85	4388
86	4859
87	5050
88	4739
89	4518
90	4268
91	4258
92	4889
93	5099
94	4749
95	9228
96	4890
97	4408
98	4548
99	4259
100	4609
101	5250
102	4308
103	4439
104	4939
105	4378
106	4338
107	4398
108	8526
109	4398
110	4449
111	4278
112	4459
113	6081
114	4338
115	4278
116	4318
117	4308
118	6813
119	5921
120	4609
121	4889
122	4499
123	4448
124	4288
125	5099
126	4278
127	4438
128	4819
129	4719
130	5731
131	6292
132	4529
133	7344
134	4298
135	5701
136	6362
137	5190
138	4769
139	4619
140	4248
141	6152
142	4829
143	7244
144	4508
145	6813
146	4408
147	4408
148	4809
149	5060
150	4689
151	4438
152	4399
153	4569
154	7604
155	4990
156	5681
157	5320
158	6683
159	4328
160	5380
161	6192
162	6282
163	5280
164	5531
165	6542
166	6452
167	5159
168	7605
169	5570
170	7755
171	6492
172	7575
173	6412
174	6182
175	4619
176	6663
177	4639
178	6042
179	4869
180	5671
181	8927
182	5260
183	4930
184	6412
185	6001
186	5861
187	7705
188	7234
189	6682
190	6723
191	7675
192	6703
193	6091
194	6422
195	5230
196	4739
197	5089
198	6062
199	4810
200	4618
201	6112
202	4289
203	4368
204	6241
205	6633
206	5501
207	6312
208	4759
209	5881
210	4448
211	4438
212	5029
213	5410
214	4489
215	5931
216	4529
217	4689
218	5290
219	7123
220	5671
221	4869
222	7665
223	5500
224	5360
225	6311
226	6232
227	5340
228	4658
229	5030
230	7123
231	5029
232	6603
233	5401
234	4809
235	4719
236	5480
237	5630
238	5981
239	7885
240	5330
241	6833
242	5821
243	7805
244	4599
245	4539
246	5560
247	4529
248	4439
249	4608
250	4429
251	4358
252	4368
253	5130
254	4379
255	4949
256	4358
257	4368
258	4339
259	4578
260	4449
261	4349
262	4388
263	4368
264	4408
265	4288
266	4449
267	4849
268	4629
269	4548
270	4749
271	4639
272	4389
273	4318
274	4348
275	4739
276	4659
277	4478
278	4338
279	4569
280	5140
281	4348
282	4499
283	4398
284	4589
285	4618
286	5160
287	4529
288	6342
289	4538
290	4669
291	4519
292	4728
293	5170
294	4629
295	4578
296	4419
297	4488
298	4298
299	4388
300	4499
301	4990
302	4378
303	4439
304	4398
305	4859
306	4989
307	4629
308	4649
309	4558
310	4989
311	5010
312	4749
313	4980
314	4478
315	4449
316	4418
317	4538
318	4459
319	4659
320	4298
321	4549
322	4679
323	4228
324	4258
325	4278
326	4469
327	4248
328	4529
329	4558
330	4298
331	4588
332	4509
333	4468
334	4498
335	4228
336	4498
337	4258
338	4359
339	5750
340	4288
341	4609
342	4398
343	4278
344	4228
345	4248
346	4729
347	5030
348	4539
349	4338
350	4588
351	4569
352	4489
353	4589
354	4359
355	4378
356	4649
357	4399
358	4729
359	4358
360	4609
361	4298
362	4459
363	4428
364	4409
365	4298
366	4920
367	4448
368	4408
369	4769
370	4479
371	4499
372	5169
373	4769
374	4408
375	4439
376	4689
377	4859
378	4599
379	4458
380	4398
381	4448
382	4358
383	5009
384	4338
385	5080
386	5601
387	4589
388	4398
389	4759
390	4508
391	4739
392	4939
393	4438
394	4388
395	4549
396	4739
397	4318
398	4649
399	4469
400	4468
401	4438
402	4358
403	4860
404	4348
405	4288
406	4870
407	4989
408	4559
409	4328
